soil_moisture,air_humidity,air_temp,light_intensity,rain_detected,soil_temp,moisture_humidity_ratio,temp_humidity_interaction,light_temp_interaction,moisture_difference,rain_soil_effect,soil_air_temp_diff
36.21780832,73.72569462,31.66862517,91444.22313,0,25.9947239,0.491250818,2334.791389,2895912.827,-37.5078863,0,-5.673901274
76.55000145,81.78429082,23.10295452,53010.6877,0,29.94794836,0.93599883,1889.458751,1224703.507,-5.234289369,0,6.844993842
61.23957593,46.28041342,35.70310214,72766.11691,0,27.00266849,1.323228772,1652.354327,2597976.104,14.95916251,0,-8.70043365
51.90609389,70.61681647,31.0360923,44168.7815,0,19.33284133,0.735038703,2191.670034,1370826.38,-18.71072258,0,-11.70325097
20.92130483,67.1634889,22.8296699,63373.42318,0,20.96928379,0.311498179,1533.320281,1446794.332,-46.24218407,0,-1.860386115
20.91961642,84.13397449,37.32208503,34717.0178,1,21.50925094,0.248646475,3140.05535,1295711.491,-63.21435807,20.91961642,-15.81283409
14.06585285,88.89565893,29.33057834,30814.74296,0,22.12582806,0.158228792,2607.361088,903814.2324,-74.82980608,0,-7.204750282
70.6323302,30.79019015,21.31217213,58244.74883,1,27.04645427,2.293988039,656.2058324,1241322.113,39.84214006,70.6323302,5.734282138
52.07805082,73.81129474,31.28299228,50314.83774,0,26.06345248,0.705556654,2309.038163,1573998.681,-21.73324392,0,-5.219539802
59.56508045,33.36932694,24.55758033,58374.10055,1,21.25056061,1.785024875,819.4699268,1433526.663,26.1957535,59.56508045,-3.307019712
11.4409146,65.67581323,34.46648213,29379.39755,1,19.0808775,0.174202859,2263.614243,1012604.481,-54.23489863,11.4409146,-15.38560464
77.89368965,48.69612739,34.72079732,37328.82535,0,20.74291527,1.599586912,1690.76837,1296086.579,29.19756226,0,-13.97788205
68.27098486,49.94047897,37.62105241,9305.898102,1,33.750101,1.367047031,1878.813376,350097.6802,18.33050589,68.27098486,-3.870951403
24.86373775,52.94230272,29.03365156,6175.360855,1,25.4967512,0.46963838,1537.10837,179293.2753,-28.07856498,24.86373775,-3.536900362
22.7277477,70.38400919,28.18922384,26092.25584,0,31.87752808,0.322910667,1984.070589,735520.4402,-47.65626148,0,3.68830424
22.83831569,51.71324777,33.5625609,8350.439074,0,31.58003947,0.441633744,1735.629027,280262.1199,-28.87493208,0,-1.982521431
31.29695701,77.62543829,22.38447181,11273.69615,0,26.18431292,0.403179129,1737.604435,252355.7338,-46.32848128,0,3.799841105
46.73295021,56.29428006,29.84447925,81479.91213,1,29.30700334,0.830154491,1680.073473,2431725.547,-9.561329848,46.73295021,-0.537475913
40.2361513,34.44295802,29.8324568,4848.496005,0,21.08403217,1.168196707,1027.518057,144642.5476,5.793193285,0,-8.748424636
30.38603981,80.94438976,21.61051621,66235.3366,0,29.01434728,0.375394015,1749.250047,1431379.815,-50.55834995,0,7.403831068
52.82970263,48.5742911,27.52371354,27983.21713,0,22.35815327,1.087606228,1336.944874,770202.0523,4.255411532,0,-5.165560271
19.76457025,58.12984717,35.35912637,87283.02239,0,31.31299355,0.340007257,2055.420612,3086251.419,-38.36527693,0,-4.046132826
30.4501254,74.55385241,35.4107652,49014.23617,1,19.33958613,0.408431275,2640.008962,1735631.608,-44.10372701,30.4501254,-16.07117907
35.64532903,51.60965021,21.78627797,31252.06947,1,30.37021877,0.690671768,1124.382185,680866.2726,-15.96432118,35.64532903,8.583940798
41.9248989,33.67806765,21.63297589,52246.25463,0,19.59899051,1.244872422,728.5568255,1130241.967,8.246831246,0,-2.033985384
64.9623173,54.30486806,24.72851859,38813.84389,0,32.09902779,1.196252167,1342.878939,959808.8599,10.65744924,0,7.370509204
23.97716475,91.38915788,35.74578913,56865.8054,0,22.86727229,0.262363338,3266.777566,2032713.088,-67.41199312,0,-12.87851684
